XQPCTick,j0x0,j0x1,j0x2,j1x0,j1x1,j1x2,j2x0,j2x1,j2x2,j3x0,j3x1,j3x2,j4x0,j4x1,j4x2,j5x0,j5x1,j5x2,j6x0,j6x1,j6x2,j7x0,j7x1,j7x2,j8x0,j8x1,j8x2,j9x0,j9x1,j9x2,j10x0,j10x1,j10x2,j11x0,j11x1,j11x2,j12x0,j12x1,j12x2,j13x0,j13x1,j13x2,j14x0,j14x1,j14x2,j15x0,j15x1,j15x2,j16x0,j16x1,j16x2,j17x0,j17x1,j17x2,j18x0,j18x1,j18x2,j19x0,j19x1,j19x2
1197978268.0,0.01077,0.219947,2.430837,0.018124,0.288009,2.485758,0.031539,0.664053,2.468098,0.029447,0.85274,2.42311,-0.148274,0.538431,2.452675,-0.231738,0.277977,2.460539,-0.278585,0.05438,2.366067,-0.271545,-0.03309,2.339365,0.185268,0.542066,2.427985,0.310467,0.383958,2.313879,0.333496,0.328979,2.04833,0.337899,0.331249,1.969638,-0.066496,0.144922,2.425435,-0.157184,-0.375392,2.492623,-0.213944,-0.743295,2.52977,-0.260029,-0.81074,2.492519,0.082542,0.145649,2.418662,0.130423,-0.37716,2.488472,0.162058,-0.756262,2.520978,0.194333,-0.816496,2.466298
1198010876.0,0.011318,0.219831,2.430475,0.018256,0.287972,2.485162,0.032049,0.663636,2.466785,0.029087,0.853363,2.422271,-0.147882,0.53796,2.450661,-0.231748,0.277995,2.460408,-0.278443,0.054361,2.365918,-0.271514,-0.033016,2.338877,0.185716,0.541995,2.428624,0.310924,0.382661,2.316948,0.337732,0.328531,2.051914,0.356411,0.327262,1.975364,-0.066192,0.14469,2.424766,-0.157072,-0.375415,2.492428,-0.214087,-0.743405,2.5298,-0.260154,-0.810762,2.492278,0.083301,0.145563,2.418765,0.13064,-0.37659,2.487869,0.162074,-0.754666,2.516709,0.194345,-0.816299,2.465873
1198045010.0,0.0118,0.219864,2.429544,0.018452,0.288059,2.483997,0.031707,0.663626,2.465367,0.029344,0.853496,2.421898,-0.147796,0.537594,2.449898,-0.231808,0.278351,2.459933,-0.278758,0.054994,2.365652,-0.271992,-0.033407,2.337379,0.185969,0.541956,2.428827,0.314633,0.381581,2.324857,0.374391,0.320707,2.026572,0.392094,0.318347,1.949859,-0.065818,0.144547,2.423236,-0.156966,-0.37532,2.492244,-0.214335,-0.743741,2.529843,-0.260527,-0.810786,2.492183,0.083875,0.14561,2.418375,0.13066,-0.376628,2.487776,0.161907,-0.753874,2.516145,0.194638,-0.816226,2.465706
1198078084.0,0.012354,0.219597,2.428992,0.01862,0.287771,2.483253,0.03197,0.663101,2.464714,0.029126,0.85336,2.421697,-0.147493,0.536929,2.448146,-0.2321,0.279162,2.459004,-0.278221,0.055334,2.36432,-0.272159,-0.033459,2.336431,0.186304,0.541855,2.429284,0.317526,0.380923,2.331236,0.382258,0.321547,2.11623,0.414227,0.31569,2.014712,-0.065357,0.144137,2.422102,-0.156738,-0.374828,2.492185,-0.214259,-0.743689,2.529768,-0.260511,-0.8108,2.49201,0.084484,0.14539,2.418284,0.13065,-0.376644,2.487775,0.162083,-0.754135,2.516606,0.194989,-0.816286,2.465543
1198111247.0,0.012772,0.219681,2.428504,0.018805,0.28795,2.48243,0.032032,0.663019,2.46337,0.029067,0.852767,2.421308,-0.14705,0.537078,2.447466,-0.231966,0.279979,2.458275,-0.278533,0.056441,2.364234,-0.272422,-0.03283,2.335555,0.187503,0.541316,2.429588,0.322031,0.379984,2.339303,0.384458,0.323425,2.122816,0.442431,0.322808,2.021468,-0.065061,0.144175,2.421345,-0.156474,-0.374745,2.491729,-0.213647,-0.743248,2.530082,-0.260517,-0.81082,2.492041,0.084995,0.145372,2.418207,0.13066,-0.376642,2.487773,0.161792,-0.753999,2.516604,0.194583,-0.816235,2.46638
1198144908.0,0.013107,0.219699,2.428126,0.018853,0.288033,2.481707,0.032145,0.662822,2.462408,0.029111,0.853162,2.420319,-0.14653,0.537171,2.445932,-0.231856,0.280514,2.457392,-0.278375,0.056471,2.363821,-0.272156,-0.032528,2.335248,0.188705,0.540613,2.42952,0.327779,0.381138,2.344852,0.394036,0.324359,2.129704,0.457925,0.322476,2.011022,-0.064854,0.144103,2.420781,-0.156377,-0.374394,2.491549,-0.213596,-0.743515,2.530254,-0.260466,-0.810901,2.492249,0.08544,0.1453,2.41814,0.130814,-0.376287,2.487593,0.161756,-0.752552,2.514971,0.194499,-0.815925,2.465502
1198178112.0,0.013587,0.219786,2.427626,0.019283,0.28816,2.480836,0.032987,0.662709,2.461472,0.029463,0.852964,2.41933,-0.146334,0.537166,2.445688,-0.231704,0.280901,2.457266,-0.2784,0.057178,2.364327,-0.272323,-0.031494,2.334493,0.189789,0.540145,2.42977,0.330897,0.38158,2.347821,0.401163,0.324426,2.134198,0.460347,0.322378,2.021557,-0.064682,0.14412,2.420323,-0.156122,-0.374117,2.491383,-0.214059,-0.74342,2.530701,-0.260644,-0.811127,2.493206,0.086015,0.145235,2.417845,0.130834,-0.376011,2.486898,0.161766,-0.752203,2.515112,0.194417,-0.815801,2.466278
1198210977.0,0.014074,0.219969,2.42696,0.01971,0.288523,2.479624,0.034125,0.662992,2.459617,0.029494,0.852717,2.417794,-0.146121,0.53716,2.445189,-0.231644,0.281264,2.456654,-0.278038,0.056573,2.364493,-0.270346,-0.032952,2.335378,0.191223,0.539322,2.430019,0.333669,0.381186,2.350576,0.407708,0.324652,2.1382,0.462776,0.322442,2.03317,-0.064548,0.144141,2.419955,-0.156103,-0.374131,2.491388,-0.21386,-0.743189,2.530247,-0.260673,-0.811196,2.493106,0.086584,0.145217,2.417307,0.130769,-0.37572,2.486813,0.161575,-0.751566,2.514141,0.194355,-0.815721,2.466135
1198245033.0,0.014525,0.220064,2.426389,0.019797,0.288819,2.478462,0.034565,0.663285,2.457937,0.030127,0.852725,2.417244,-0.14549,0.536701,2.443677,-0.231475,0.281699,2.456115,-0.279475,0.052146,2.360889,-0.269045,-0.033327,2.335886,0.192459,0.539018,2.430903,0.335649,0.381196,2.352788,0.413085,0.324235,2.141893,0.467211,0.321729,2.032735,-0.064197,0.144221,2.418989,-0.155946,-0.374169,2.491285,-0.214116,-0.743304,2.530406,-0.261112,-0.811276,2.492919,0.08704,0.145115,2.41724,0.130768,-0.375725,2.486792,0.161346,-0.75242,2.514795,0.194136,-0.816214,2.466889
1198277769.0,0.0147,0.220005,2.425813,0.019875,0.288945,2.477192,0.034847,0.663339,2.456212,0.030332,0.852402,2.416982,-0.145317,0.536792,2.443194,-0.230819,0.282357,2.455526,-0.277368,0.051306,2.360239,-0.267676,-0.035202,2.335999,0.193763,0.53806,2.430944,0.338418,0.380404,2.356889,0.414843,0.324947,2.145229,0.475185,0.322043,2.031544,-0.064268,0.144048,2.418318,-0.155853,-0.373938,2.49097,-0.214032,-0.743477,2.530397,-0.261115,-0.811246,2.492924,0.087339,0.144865,2.416979,0.130765,-0.375419,2.486529,0.161315,-0.752187,2.514785,0.194236,-0.816041,2.467107
