epoch time D_loss G_loss mmd2 that pdf real_pdf
0 14.774005651473999 0.0135474 6.73344 0.972684 772.527 NA NA
1 233.65622091293335 0.313609 2.0426 1.00018 6842.28 NA NA
2 243.46382188796997 0.144678 2.87364 1.00239 1164.43 NA NA
3 252.40773606300354 0.0305957 5.07325 0.889053 554.231 NA NA
4 274.0377562046051 0.0137014 5.23801 1.00863 663.57 NA NA
5 281.2047109603882 0.0149675 6.56921 0.970514 592.811 NA NA
6 361.3031587600708 0.0247956 5.5272 0.643504 610.828 NA NA
7 387.03791522979736 0.0172916 8.37057 0.941505 535.991 NA NA
8 410.5885601043701 0.0623926 4.78049 0.434683 136.018 NA NA
9 417.7898864746094 0.574113 1.14998 0.518139 182.755 NA NA
