time,dancer,joint,x,y,z
2290,1,SPINE_BASE,-25.55893,668.1831,-78.576294
2290,1,SPINE_MID,-28.382141,520.7683,-76.66785
2290,1,NECK,-29.484497,376.9155,-70.4668
2290,1,HEAD,-27.781494,330.10614,-85.18176
2290,1,LEFT_SHOULDER,-75.875916,445.52133,-43.046875
2290,1,LEFT_ELBOW,-111.700195,535.6503,-63.59143
2290,1,LEFT_WRIST,-131.50708,629.67706,-88.038574
2290,1,LEFT_HAND,-146.84583,667.5128,-100.4082
2290,1,RIGHT_SHOULDER,38.860718,448.66092,-61.071777
2290,1,RIGHT_ELBOW,48.619965,549.57544,-66.24634
2290,1,RIGHT_WRIST,60.506683,648.9212,-74.9657
2290,1,RIGHT_HAND,60.160248,668.5256,-86.12268
2290,1,LEFT_HIP,-45.70114,666.3398,-53.372437
2290,1,LEFT_KNEE,-61.575226,796.4756,-15.293579
2290,1,LEFT_ANKLE,-41.186066,931.8374,40.48401
2290,1,LEFT_FOOT,-30.396057,945.8086,91.270935
2290,1,RIGHT_HIP,6.257843,670.2639,-63.112793
2290,1,RIGHT_KNEE,-7.9366455,830.2323,-101.233154
2290,1,RIGHT_ANKLE,-24.502075,946.82477,-112.87573
2290,1,RIGHT_FOOT,-14.471619,961.0681,-61.680542
2290,1,SPINE_SHOULDER,-29.52533,412.3838,-72.795044
2290,1,LEFT_HANDTIP,-146.26392,689.5477,-96.75818
2290,1,LEFT_THUMB,-149.85309,662.30414,-93.5
2290,1,RIGHT_HANDTIP,60.27588,693.64355,-90.204956
2290,1,RIGHT_THUMB,50.37195,675.5748,-86.6001
2640,1,SPINE_BASE,-31.893036,668.731,-132.54712
2640,1,SPINE_MID,-26.886902,521.2957,-127.427
2640,1,NECK,-20.803528,376.99506,-119.38782
2640,1,HEAD,-17.010223,329.02646,-133.64514
2640,1,LEFT_SHOULDER,-70.42078,443.91418,-91.16431
2640,1,LEFT_ELBOW,-108.86151,533.8162,-106.74182
2640,1,LEFT_WRIST,-133.2403,625.89215,-132.29309
2640,1,LEFT_HAND,-144.80774,652.9329,-154.23645
2640,1,RIGHT_SHOULDER,45.330566,450.8319,-109.65173
2640,1,RIGHT_ELBOW,53.461517,549.29156,-126.53174
2640,1,RIGHT_WRIST,58.675934,641.8403,-153.40625
2640,1,RIGHT_HAND,50.364075,660.8107,-163.78552
2640,1,LEFT_HIP,-53.645172,667.23035,-116.01294
2640,1,LEFT_KNEE,-68.082825,811.3484,-120.94678
2640,1,LEFT_ANKLE,-60.38669,935.27966,-62.077515
2640,1,LEFT_FOOT,-49.481354,949.99023,-11.631409
2640,1,RIGHT_HIP,-0.35629272,668.74713,-123.56421
2640,1,RIGHT_KNEE,-22.062622,800.99866,-139.09631
2640,1,RIGHT_ANKLE,-26.321228,946.4186,-120.14343
2640,1,RIGHT_FOOT,-15.955322,961.13635,-69.47571
2640,1,SPINE_SHOULDER,-22.577454,412.61487,-122.09985
2640,1,LEFT_HANDTIP,-146.19818,677.90894,-161.21362
2640,1,LEFT_THUMB,-148.13757,652.9959,-148.76013
2640,1,RIGHT_HANDTIP,43.796967,688.31256,-170.5896
2640,1,RIGHT_THUMB,40.693695,674.85156,-127.63574
2836,1,SPINE_BASE,-34.511536,666.5604,-142.59961
2836,1,SPINE_MID,-29.414032,519.36755,-137.62842
2836,1,NECK,-23.25113,375.54852,-128.60742
2836,1,HEAD,-18.680115,328.16113,-143.76965
2836,1,LEFT_SHOULDER,-73.15976,441.8272,-104.13672
2836,1,LEFT_ELBOW,-111.47574,532.08905,-118.46826
2836,1,LEFT_WRIST,-80.37619,624.74646,-89.64429
2836,1,LEFT_HAND,-76.546844,646.1169,-88.28406
2836,1,RIGHT_SHOULDER,43.622803,450.01437,-116.54187
2836,1,RIGHT_ELBOW,51.04956,548.7394,-132.44373
2836,1,RIGHT_WRIST,55.880737,640.04095,-158.1034
2836,1,RIGHT_HAND,46.725433,658.1769,-168.04907
2836,1,LEFT_HIP,-57.100616,664.95123,-126.82898
2836,1,LEFT_KNEE,-58.97531,818.01556,-137.17468
2836,1,LEFT_ANKLE,-65.859375,949.8142,-115.160034
2836,1,LEFT_FOOT,-57.16101,964.54834,-64.4187
2836,1,RIGHT_HIP,-2.2106018,666.6368,-132.90125
2836,1,RIGHT_KNEE,-20.669922,797.9393,-141.40991
2836,1,RIGHT_ANKLE,-28.419067,944.52985,-121.34863
2836,1,RIGHT_FOOT,-16.210693,975.46826,-118.94458
2836,1,SPINE_SHOULDER,-25.001984,411.03485,-131.62134
2836,1,LEFT_HANDTIP,-69.928375,673.1773,-84.864136
2836,1,LEFT_THUMB,-97.95035,652.7715,-90.416504
2836,1,RIGHT_HANDTIP,44.761414,686.4685,-180.70349
2836,1,RIGHT_THUMB,40.10562,671.9918,-132.01294
3018,1,SPINE_BASE,-40.10379,665.6797,-146.87378
3018,1,SPINE_MID,-35.7442,518.62854,-141.48438
3018,1,NECK,-29.958374,374.95282,-131.61963
3018,1,HEAD,-27.377686,327.2524,-146.44788
3018,1,LEFT_SHOULDER,-77.32056,442.50168,-110.13025
3018,1,LEFT_ELBOW,-112.89447,533.20233,-127.23218
3018,1,LEFT_WRIST,-76.21866,622.954,-95.52649
3018,1,LEFT_HAND,-76.305664,655.1306,-92.591064
3018,1,RIGHT_SHOULDER,36.42154,447.02563,-115.93103
3018,1,RIGHT_ELBOW,47.00766,545.8765,-130.04749
3018,1,RIGHT_WRIST,52.580994,639.55725,-150.4386
3018,1,RIGHT_HAND,46.40683,661.90405,-157.08691
3018,1,LEFT_HIP,-62.466095,664.18207,-132.38074
3018,1,LEFT_KNEE,-61.720764,818.8751,-134.5232
3018,1,LEFT_ANKLE,-68.42325,947.6106,-114.621826
3018,1,LEFT_FOOT,-61.89673,962.4002,-63.797607
3018,1,RIGHT_HIP,-7.973633,665.7024,-135.96204
3018,1,RIGHT_KNEE,-20.56842,794.1307,-140.56384
3018,1,RIGHT_ANKLE,-28.503265,944.6924,-122.03406
3018,1,RIGHT_FOOT,-22.369324,959.48816,-71.05054
3018,1,SPINE_SHOULDER,-31.681396,410.39764,-134.8927
3018,1,LEFT_HANDTIP,-74.68329,681.696,-98.25842
3018,1,LEFT_THUMB,-101.81668,656.9627,-98.349976
3018,1,RIGHT_HANDTIP,44.262512,688.85913,-170.79993
3018,1,RIGHT_THUMB,36.847626,674.6963,-133.63464
3145,1,SPINE_BASE,-42.695587,665.6083,-148.33594
3145,1,SPINE_MID,-39.74301,518.7303,-142.91675
3145,1,NECK,-35.39972,375.2622,-132.94397
3145,1,HEAD,-34.225983,327.05188,-146.63196
3145,1,LEFT_SHOULDER,-83.216736,442.97064,-113.76001
3145,1,LEFT_ELBOW,-114.92059,535.4155,-130.07715
3145,1,LEFT_WRIST,-80.444214,626.0718,-98.67297
3145,1,LEFT_HAND,-83.69809,635.0622,-101.51245
3145,1,RIGHT_SHOULDER,31.05072,446.4032,-116.13049
3145,1,RIGHT_ELBOW,43.280945,545.5353,-128.0542
3145,1,RIGHT_WRIST,51.58136,641.2035,-139.95898
3145,1,RIGHT_HAND,50.173065,662.8013,-145.45178
3145,1,LEFT_HIP,-65.027985,664.3985,-134.8899
3145,1,LEFT_KNEE,-71.0473,817.3974,-128.45776
3145,1,LEFT_ANKLE,-71.980865,942.6674,-112.3512
3145,1,LEFT_FOOT,-66.62015,957.51245,-61.54236
3145,1,RIGHT_HIP,-10.647217,665.3907,-136.56934
3145,1,RIGHT_KNEE,-19.814117,792.13293,-137.98962
3145,1,RIGHT_ANKLE,-28.666595,944.6476,-121.81201
3145,1,RIGHT_FOOT,-23.740509,959.45245,-70.840454
3145,1,SPINE_SHOULDER,-36.769073,410.65567,-136.24658
3145,1,LEFT_HANDTIP,-87.19638,662.1731,-94.37366
3145,1,LEFT_THUMB,-100.720184,637.48395,-104.148926
3145,1,RIGHT_HANDTIP,50.444824,689.9111,-150.45715
3145,1,RIGHT_THUMB,39.425415,669.3303,-147.05017
3237,1,SPINE_BASE,-43.45233,665.56946,-149.17688
3237,1,SPINE_MID,-41.433105,519.1114,-143.81226
3237,1,NECK,-38.129974,376.14517,-133.91199
3237,1,HEAD,-37.670258,327.4619,-146.47546
3237,1,LEFT_SHOULDER,-90.46478,444.5268,-116.2561
3237,1,LEFT_ELBOW,-117.644104,538.6905,-131.72986
3237,1,LEFT_WRIST,-88.53885,631.65216,-102.352295
3237,1,LEFT_HAND,-86.78549,647.7764,-102.668945
3237,1,RIGHT_SHOULDER,28.56012,445.778,-117.21912
3237,1,RIGHT_ELBOW,40.977386,545.04816,-128.05676
3237,1,RIGHT_WRIST,51.003296,643.8183,-138.43738
3237,1,RIGHT_HAND,50.760895,664.39996,-149.38794
3237,1,LEFT_HIP,-65.61743,664.635,-135.77454
3237,1,LEFT_KNEE,-72.760254,817.7745,-127.31287
3237,1,LEFT_ANKLE,-72.54477,942.95483,-112.24121
3237,1,LEFT_FOOT,-67.69592,957.78,-61.448486
3237,1,RIGHT_HIP,-11.550079,665.0582,-137.32275
3237,1,RIGHT_KNEE,-17.976868,792.26605,-136.27112
3237,1,RIGHT_ANKLE,-27.666473,943.88574,-121.30017
3237,1,RIGHT_FOOT,-23.26419,958.67834,-70.337524
3237,1,SPINE_SHOULDER,-39.236176,411.41052,-137.19409
3237,1,LEFT_HANDTIP,-92.64862,674.61194,-103.28467
3237,1,LEFT_THUMB,-106.26926,651.83246,-109.91199
3237,1,RIGHT_HANDTIP,53.297028,690.1253,-156.4231
3237,1,RIGHT_THUMB,36.922607,676.8938,-142.69995
3317,1,SPINE_BASE,-43.71707,665.4333,-149.53516
3317,1,SPINE_MID,-41.858887,519.04865,-144.12549
3317,1,NECK,-38.659546,376.13046,-134.18726
3317,1,HEAD,-39.15509,327.78317,-146.60046
3317,1,LEFT_SHOULDER,-91.06418,444.7361,-116.337524
3317,1,LEFT_ELBOW,-117.86505,539.0384,-131.84082
3317,1,LEFT_WRIST,-88.04181,631.7779,-102.34473
3317,1,LEFT_HAND,-86.56897,647.94556,-102.302734
3317,1,RIGHT_SHOULDER,28.26715,445.69235,-117.47742
3317,1,RIGHT_ELBOW,40.736084,544.99133,-128.26709
3317,1,RIGHT_WRIST,50.914734,643.72986,-138.93445
3317,1,RIGHT_HAND,51.473694,663.604,-150.71252
3317,1,LEFT_HIP,-65.85541,664.56396,-136.23047
3317,1,LEFT_KNEE,-73.16812,817.60474,-127.27307
3317,1,LEFT_ANKLE,-72.550934,942.51154,-112.233154
3317,1,LEFT_FOOT,-67.645935,957.349,-61.428955
3317,1,RIGHT_HIP,-11.825928,664.86584,-137.57263
3317,1,RIGHT_KNEE,-17.480408,792.30505,-136.12366
